n,b_per_K,dT_K,pressure_Torr,R_total_percent
0.5,0.0,20.0,0.03471893125592162,0.8966355338594134
0.5,0.0,20.0,0.03654466844916867,0.8672818351600942
0.5,0.0,20.0,0.03846641425150099,0.8385946241258768
0.5,0.0,20.0,0.04048921739230442,0.8105878324145888
0.5,0.0,20.0,0.04261839209453522,0.7832729955664197
0.5,0.0,20.0,0.04485953203602197,0.7566593152168677
0.5,0.0,20.0,0.04721852504494004,0.7307537338462344
0.5,0.0,20.0,0.04970156856806445,0.7055610204899754
0.5,0.0,20.0,0.052315185952440606,0.6810838658208418
0.5,0.0,20.0,0.055066243583245855,0.6573229850247664
0.5,0.0,20.0,0.05796196892286703,0.6342772269310792
0.5,0.0,20.0,0.06100996949858357,0.6119436879125972
0.5,0.0,20.0,0.0642182528887423,0.5903178291471578
0.5,0.0,20.0,0.06759524775992874,0.5693935959202756
0.5,0.0,20.0,0.07114982601040433,0.5491635377477655
0.5,0.0,20.0,0.07489132607798205,0.5296189282045116
0.5,0.0,20.0,0.07882957747357616,0.5107498834575175
0.5,0.0,20.0,0.08297492660487786,0.49254547861536935
0.5,0.0,20.0,0.08733826395800094,0.47499386112002107
0.5,0.0,20.0,0.09193105270850606,0.45808236051962936
0.5,0.0,20.0,0.09676535883697175,0.44179759406810515
0.5,0.0,20.0,0.10185388282822885,0.42612556770147414
0.5,0.0,20.0,0.10720999303753742,0.4110517720368412
0.5,0.0,20.0,0.11284776081136579,0.39656127313043577
0.5,0.0,20.0,0.11878199745503625,0.3826387978131951
0.5,0.0,20.0,0.12502829314436154,0.36926881349697016
0.5,0.0,20.0,0.1316030578834957,0.3564356024111426
0.5,0.0,20.0,0.13852356461660462,0.34412333028812636
0.5,0.0,20.0,0.1458079946066139,0.33231610956689916
0.5,0.0,20.0,0.15347548520025558,0.32099805722822783
0.5,0.0,20.0,0.16154618010489644,0.3101533474107576
0.5,0.0,20.0,0.17004128230923643,0.2997662589885097
0.5,0.0,20.0,0.1789831097869027,0.2898212183134463
0.5,0.0,20.0,0.1883951541292886,0.2803028373459693
0.5,0.0,20.0,0.19830214226166915,0.271195947409808
0.5,0.0,20.0,0.2087301014047364,0.26248562881687754
0.5,0.0,20.0,0.21970642745221153,0.2541572366131728
